           step            time     temperature       potential              LJ             PME         nb14_LJ         nb14_EE            bond           angle        dihedral         density        pressure           dV_dt 
            100          25.905          301.28      -267089.34        37525.71      -360590.00         2946.68        33983.38         2366.20         6201.46        10477.23          0.5010         -147.16         -255.35 
            200          26.305          301.89      -267566.47        37184.98      -360747.00         2943.33        33989.82         2358.30         6131.85        10572.28          0.5016         -172.71         -295.48 
            300          26.705          300.04      -267958.25        37400.66      -361236.00         2937.12        33889.09         2378.33         6131.15        10541.38          0.5025         -215.46         -392.96 
            400          27.105          301.68      -268089.69        37431.77      -361514.75         2970.02        33883.33         2307.91         6304.40        10527.60          0.5039         -151.36         -615.25 
            500          27.505          302.14      -268169.41        37479.67      -361512.00         2948.51        33926.60         2355.05         6153.65        10479.10          0.5055         -171.33         -503.79 
            600          27.905          301.27      -268371.78        38029.45      -362313.75         2985.90        33987.36         2379.81         6101.88        10457.58          0.5070         -126.71         -594.52 
            700          28.305          298.47      -268720.47        37940.28      -362731.25         2968.08        34083.38         2308.15         6196.69        10514.20          0.5085          -53.92         -519.45 
            800          28.705          298.73      -268424.12        37462.07      -361875.75         2993.42        33936.22         2431.70         6119.72        10508.49          0.5098          -56.60         -515.25 
            900          29.105          299.20      -268531.78        37605.33      -362140.00         3003.01        33976.46         2352.67         6172.66        10498.13          0.5112          -82.13         -459.78 
           1000          29.505          300.62      -268735.94        37388.48      -362126.50         2998.20        34063.09         2308.35         6100.01        10532.42          0.5124         -135.57         -438.03 
