           step            time     temperature       potential              LJ             PME         nb14_LJ         nb14_EE            bond           angle        dihedral         density        pressure           dV_dt 
            100          25.905          301.53      -267157.22        36955.17      -360068.50         2991.36        33957.07         2360.85         6156.50        10490.35          0.5008         -152.11         -163.17 
            200          26.305          299.01      -267808.81        37030.25      -360732.50         2980.14        33972.87         2337.34         6122.30        10480.77          0.5015         -176.47         -269.43 
            300          26.705          299.57      -268034.69        37014.60      -360980.25         2988.07        34013.94         2318.12         6139.74        10471.10          0.5023         -167.55         -332.76 
            400          27.105          297.09      -267862.09        37281.80      -361026.00         3003.60        33962.37         2305.26         6158.44        10452.42          0.5032          -96.13         -361.23 
            500          27.505          300.14      -268426.69        37594.03      -362057.25         2989.11        34012.30         2391.78         6154.99        10488.33          0.5043          -84.01         -427.24 
            600          27.905          300.79      -268711.06        37317.71      -361892.00         2937.03        33921.70         2357.35         6197.00        10450.15          0.5053         -222.48         -413.85 
            700          28.305          299.37      -268535.81        38020.69      -362354.50         2991.87        33965.23         2352.51         5972.53        10515.87          0.5066          -43.73         -541.00 
            800          28.705          298.27      -268615.78        37782.04      -362324.25         2965.30        33931.80         2377.62         6164.35        10487.34          0.5079          -96.29         -528.58 
            900          29.105          299.93      -268973.44        37586.04      -362344.25         2994.34        33962.07         2250.02         6114.81        10463.52          0.5094         -182.69         -593.81 
           1000          29.505          295.92      -268600.91        37729.66      -362248.00         2988.18        33903.18         2365.13         6124.82        10536.11          0.5110          -83.28         -593.49 
