           step            time     temperature       potential              LJ             PME         nb14_LJ         nb14_EE            bond           angle        dihedral         density        pressure           dV_dt 
            100          25.905          299.15      -266989.81        37257.04      -360095.25         2942.94        33864.36         2369.02         6139.47        10532.61          0.5008         -204.45         -122.41 
            200          26.305          300.12      -267476.38        37219.11      -360645.75         2957.67        33923.77         2336.05         6236.16        10496.58          0.5012         -156.70         -202.88 
            300          26.705          296.62      -267370.19        36824.30      -360158.00         2942.83        33923.72         2372.39         6192.40        10532.14          0.5019         -310.06         -282.41 
            400          27.105          302.86      -267455.41        37325.16      -360741.75         2971.31        33992.14         2328.89         6209.01        10459.84          0.5030         -137.59         -484.71 
            500          27.505          298.30      -267820.00        37060.48      -360869.50         2954.38        33956.95         2394.94         6179.97        10502.79          0.5044         -254.28         -616.16 
            600          27.905          298.04      -268275.47        37699.62      -361820.75         2963.54        33877.66         2408.57         6170.35        10425.57          0.5060         -132.83         -643.54 
            700          28.305          299.12      -268643.59        37577.92      -362050.50         2997.26        33966.60         2326.32         6065.48        10473.37          0.5076         -116.30         -681.54 
            800          28.705          301.32      -268608.53        37139.42      -361629.50         2946.69        33926.25         2340.47         6180.17        10487.96          0.5093         -196.96         -728.12 
            900          29.105          299.86      -268570.28        37540.36      -362194.75         3005.69        33987.31         2339.82         6215.90        10535.37          0.5113         -119.06         -698.56 
           1000          29.505          297.35      -269430.47        37890.03      -363161.25         2991.89        33831.35         2338.77         6175.51        10503.21          0.5130          -25.14         -577.05 
