           step            time     temperature       potential              LJ             PME         nb14_LJ         nb14_EE            bond           angle        dihedral         density        pressure           dV_dt 
            100          25.905          303.07      -266890.31        36916.88      -359721.50         2961.07        33952.73         2327.41         6180.53        10492.60          0.5010         -142.15         -241.41 
            200          26.305          297.71      -267536.78        37018.64      -360489.75         2963.88        33974.88         2343.98         6122.59        10529.04          0.5016         -170.72         -317.36 
            300          26.705          300.03      -267706.56        37233.99      -361029.25         2970.49        34045.12         2362.65         6222.72        10487.70          0.5026         -193.07         -406.98 
            400          27.105          298.65      -267847.06        37093.91      -360946.00         2957.62        33966.25         2332.50         6241.89        10506.73          0.5037         -179.55         -424.04 
            500          27.505          299.35      -267804.59        37530.74      -361295.50         2993.49        34068.95         2360.23         5996.23        10541.27          0.5049         -100.61         -528.77 
            600          27.905          300.30      -268007.97        37333.54      -361404.75         3012.23        34006.74         2339.15         6111.04        10594.09          0.5066         -151.40         -687.60 
            700          28.305          300.23      -268663.19        37551.55      -362135.75         2958.84        33942.54         2355.16         6164.51        10499.95          0.5083         -167.48         -653.43 
            800          28.705          300.34      -268547.28        36871.99      -361436.50         3008.93        34073.62         2293.78         6130.75        10510.11          0.5098         -196.15         -538.14 
            900          29.105          302.27      -268789.19        37584.44      -362244.50         2971.51        33996.13         2289.04         6094.72        10519.51          0.5111         -155.35         -502.46 
           1000          29.505          300.97      -268862.34        37678.71      -362536.75         2985.35        34055.20         2384.90         6053.10        10517.17          0.5124         -111.26         -432.98 
