           step            time     temperature       potential              LJ             PME         nb14_LJ         nb14_EE            bond           angle        dihedral         density        pressure           dV_dt 
            100          25.905          298.34      -267352.91        37080.50      -360304.75         2928.56        33981.66         2286.48         6194.40        10480.26          0.5007         -222.59           12.67 
            200          26.305          301.87      -267804.69        36880.12      -360537.75         2980.48        33873.55         2385.08         6127.33        10486.49          0.5008         -178.78          -78.31 
            300          26.705          299.21      -267987.22        37395.88      -361332.25         2981.12        33982.66         2384.94         6108.33        10492.11          0.5013         -141.58         -300.45 
            400          27.105          297.17      -267727.22        36801.94      -360477.00         2960.82        33922.06         2450.82         6131.40        10482.75          0.5021         -312.90         -291.44 
            500          27.505          300.83      -268143.62        37169.38      -361231.25         2954.89        33910.27         2357.61         6176.79        10518.65          0.5028         -160.26         -308.67 
            600          27.905          301.14      -268410.88        37123.12      -361384.25         3004.06        34026.00         2265.63         6046.21        10508.36          0.5037         -220.74         -379.42 
            700          28.305          303.72      -268287.62        37478.48      -361634.75         2920.15        33960.11         2396.19         6099.41        10492.80          0.5049         -253.75         -487.10 
            800          28.705          300.60      -268469.84        36909.02      -361332.25         2947.25        33994.56         2373.82         6164.72        10473.08          0.5062         -291.28         -511.24 
            900          29.105          298.91      -268311.88        37331.20      -361613.25         3005.65        33945.35         2355.29         6145.44        10518.47          0.5076         -139.18         -605.69 
           1000          29.505          300.97      -268590.06        37328.31      -361696.00         2952.96        33915.01         2330.78         6085.60        10493.27          0.5093         -213.42         -720.78 
