           step            time     temperature       potential              LJ             PME         nb14_LJ         nb14_EE            bond           angle        dihedral         density        pressure           dV_dt 
            100          25.905          299.79      -267109.62        37483.14      -360489.25         2938.81        33927.79         2353.89         6164.04        10511.96          0.5007         -130.74          -76.04 
            200          26.305          300.39      -267221.72        37501.93      -360786.75         2982.62        34034.13         2371.99         6158.12        10516.23          0.5010          -96.52         -180.09 
            300          26.705          298.10      -267503.25        37044.31      -360362.75         2970.59        33917.09         2387.34         5993.08        10547.10          0.5017         -200.24         -311.27 
            400          27.105          299.52      -267215.78        37394.45      -360455.50         2967.69        34009.96         2312.30         6049.18        10506.11          0.5027         -112.64         -519.15 
            500          27.505          298.39      -268043.72        37302.88      -361236.50         2950.47        33954.19         2382.31         6110.32        10492.62          0.5041         -246.96         -495.27 
            600          27.905          300.74      -268239.34        37201.70      -361347.25         2967.69        33836.96         2383.56         6181.10        10536.91          0.5054         -244.00         -511.06 
            700          28.305          298.97      -268392.81        37180.88      -361481.50         2994.56        33998.57         2323.95         6103.76        10487.01          0.5070         -139.69         -663.78 
            800          28.705          298.74      -268559.25        37363.54      -361817.75         2992.24        33968.49         2365.94         6103.98        10464.31          0.5087         -144.05         -660.48 
            900          29.105          302.37      -268949.06        37699.73      -362414.75         2987.18        33991.60         2262.78         6043.84        10480.57          0.5105          -53.76         -700.51 
           1000          29.505          298.56      -269017.31        37873.99      -362883.75         2964.96        33969.32         2327.36         6227.74        10503.04          0.5122          -70.72         -514.44 
