           step            time     temperature       potential              LJ             PME         nb14_LJ         nb14_EE            bond           angle        dihedral         density        pressure           dV_dt 
            100          25.905          301.63      -266944.47        36879.46      -359849.25         2962.81        34012.06         2384.07         6124.53        10541.85          0.5006         -114.09          -47.75 
            200          26.305          299.66      -267016.44        36912.61      -359907.00         2960.04        33957.47         2359.73         6187.40        10513.33          0.5011         -152.66         -325.27 
            300          26.705          297.69      -267638.38        37533.62      -361071.50         2938.01        33944.16         2388.52         6109.19        10519.62          0.5020         -157.24         -406.27 
            400          27.105          299.71      -267871.44        37300.63      -361195.50         2969.35        33936.77         2343.32         6257.73        10516.29          0.5033         -207.38         -596.98 
            500          27.505          298.07      -267880.31        37008.55      -360808.50         2962.41        33922.97         2432.67         6101.08        10500.53          0.5047         -250.26         -598.12 
            600          27.905          298.58      -267875.88        37223.49      -360944.50         2981.62        33917.75         2380.06         6120.20        10445.51          0.5063         -187.75         -637.14 
            700          28.305          297.33      -268644.41        37425.39      -361834.50         2987.95        33888.77         2268.98         6181.44        10437.60          0.5081         -150.40         -714.26 
            800          28.705          300.39      -268913.91        37276.87      -362167.75         2967.11        33938.54         2411.26         6129.67        10530.40          0.5100         -153.14         -646.30 
            900          29.105          303.93      -268494.28        37699.28      -362078.00         2955.76        33982.52         2371.25         6109.42        10465.47          0.5114          -89.15         -488.24 
           1000          29.505          302.13      -268643.06        37375.75      -361939.75         2988.40        33901.73         2396.58         6116.55        10517.67          0.5127         -121.35         -515.57 
