           step            time     temperature       potential              LJ             PME         nb14_LJ         nb14_EE            bond           angle        dihedral         density        pressure           dV_dt 
            100          25.905          301.20      -266927.03        36858.51      -359860.25         2942.04        34006.82         2383.65         6197.05        10545.15          0.5007         -168.74          -57.94 
            200          26.305          297.98      -267275.19        36900.93      -360077.00         2959.33        33885.20         2348.29         6241.58        10466.47          0.5010         -164.41         -220.33 
            300          26.705          299.14      -267486.78        36486.32      -359789.75         2980.53        33908.00         2328.32         6073.98        10525.84          0.5018         -252.64         -392.91 
            400          27.105          297.77      -267917.06        36957.94      -360783.00         3002.81        33890.56         2300.52         6172.05        10542.05          0.5029         -145.79         -403.63 
            500          27.505          297.82      -268150.22        37881.64      -361843.50         2962.91        33877.68         2346.16         6179.55        10445.30          0.5040         -160.75         -520.38 
            600          27.905          299.12      -268165.75        37281.28      -361356.75         3002.32        33892.53         2335.84         6182.97        10496.05          0.5054         -110.80         -565.10 
            700          28.305          300.78      -267841.03        37175.42      -361017.25         2996.13        33891.39         2381.46         6187.07        10544.74          0.5069         -170.39         -574.90 
            800          28.705          297.09      -268498.69        37450.67      -361892.75         2943.00        34055.46         2377.41         6075.78        10491.72          0.5084         -138.99         -557.33 
            900          29.105          299.21      -268653.12        37377.80      -361961.50         2988.81        34032.30         2289.77         6123.92        10495.71          0.5100         -122.79         -524.57 
           1000          29.505          301.69      -269074.66        37623.65      -362571.75         2958.74        34057.78         2318.83         6097.49        10440.58          0.5113         -119.91         -546.03 
