           step            time     temperature       potential              LJ             PME         nb14_LJ         nb14_EE            bond           angle        dihedral         density        pressure           dV_dt 
            100          25.905          301.48      -267092.03        37514.09      -360582.75         2955.48        33922.27         2365.54         6244.03        10489.32          0.5010          -38.14         -221.61 
            200          26.305          300.83      -267587.38        37696.66      -361370.00         2961.10        34078.62         2311.86         6141.99        10592.40          0.5019         -110.11         -400.24 
            300          26.705          300.25      -267929.31        37395.62      -361165.50         2965.12        33945.75         2336.56         6103.72        10489.41          0.5029          -91.92         -403.36 
            400          27.105          297.98      -267721.28        37320.22      -361075.25         2955.36        34021.86         2356.45         6200.17        10499.86          0.5040         -199.64         -555.70 
            500          27.505          299.64      -268308.75        37540.89      -361777.75         2946.08        33969.35         2324.80         6153.27        10534.60          0.5055         -145.32         -566.68 
            600          27.905          296.45      -268332.38        37779.62      -361955.75         2972.27        33962.83         2323.56         6061.65        10523.44          0.5070         -119.48         -500.38 
            700          28.305          300.60      -267987.38        36917.17      -360887.00         2975.75        33918.31         2367.37         6216.30        10504.68          0.5083         -136.26         -545.28 
            800          28.705          296.22      -268350.44        36995.96      -361399.25         2987.90        34003.48         2410.65         6143.16        10507.67          0.5099         -139.75         -623.57 
            900          29.105          298.50      -268341.00        37464.97      -361738.00         2943.96        34004.63         2337.33         6138.79        10507.33          0.5115         -153.23         -594.90 
           1000          29.505          298.33      -268986.34        37122.90      -361947.50         2964.74        33860.79         2359.21         6117.53        10535.97          0.5130         -135.67         -524.32 
