step,pressure
100.000000,-41.570000
200.000000,-217.950000
300.000000,-176.770000
400.000000,-181.510000
500.000000,-169.320000
600.000000,-157.300000
700.000000,-172.180000
800.000000,-114.680000
900.000000,-110.190000
1000.000000,-140.230000
1100.000000,-96.840000
1200.000000,-94.580000
1300.000000,-95.890000
1400.000000,-163.970000
1500.000000,-206.280000
1600.000000,-145.580000
1700.000000,-116.510000
1800.000000,-192.910000
1900.000000,-149.650000
2000.000000,-165.010000
2100.000000,-256.930000
2200.000000,-100.880000
2300.000000,-43.130000
2400.000000,-118.010000
2500.000000,-46.640000
2600.000000,-88.780000
2700.000000,-148.310000
2800.000000,-109.210000
2900.000000,5.840000
3000.000000,-5.930000
3100.000000,-4.590000
3200.000000,37.890000
3300.000000,-62.110000
3400.000000,91.660000
3500.000000,-56.080000
3600.000000,-5.320000
3700.000000,-113.460000
3800.000000,-128.710000
3900.000000,-36.190000
4000.000000,-61.390000
4100.000000,-1.840000
4200.000000,-54.800000
4300.000000,-78.880000
4400.000000,-164.010000
4500.000000,-115.660000
4600.000000,-12.650000
4700.000000,-40.440000
4800.000000,-46.700000
4900.000000,19.270000
5000.000000,-84.450000
