step,pressure
100.000000,-76.110000
200.000000,-270.060000
300.000000,-201.540000
400.000000,-272.800000
500.000000,-236.620000
600.000000,-191.490000
700.000000,-222.530000
800.000000,-159.960000
900.000000,-157.170000
1000.000000,-13.820000
1100.000000,-27.430000
1200.000000,-137.270000
1300.000000,-87.590000
1400.000000,-170.350000
1500.000000,-44.150000
1600.000000,-78.740000
1700.000000,-109.460000
1800.000000,-134.180000
1900.000000,-128.530000
2000.000000,-97.580000
2100.000000,-27.700000
2200.000000,-78.970000
2300.000000,-118.580000
2400.000000,-77.280000
2500.000000,-209.440000
2600.000000,-202.610000
2700.000000,-164.430000
2800.000000,-176.210000
2900.000000,-147.570000
3000.000000,-91.800000
3100.000000,76.430000
3200.000000,4.320000
3300.000000,-152.130000
3400.000000,-7.130000
3500.000000,-44.690000
3600.000000,20.620000
3700.000000,-42.270000
3800.000000,-67.540000
3900.000000,-175.380000
4000.000000,-147.760000
4100.000000,-34.280000
4200.000000,-79.630000
4300.000000,-144.960000
4400.000000,-43.750000
4500.000000,-14.860000
4600.000000,-13.800000
4700.000000,24.960000
4800.000000,-9.590000
4900.000000,-139.110000
5000.000000,-133.470000
