step,pressure
100.000000,-99.640000
200.000000,-168.390000
300.000000,-126.750000
400.000000,-146.290000
500.000000,-212.550000
600.000000,-284.050000
700.000000,-120.600000
800.000000,-198.670000
900.000000,-249.890000
1000.000000,-190.110000
1100.000000,-114.970000
1200.000000,-133.930000
1300.000000,-188.910000
1400.000000,-204.660000
1500.000000,-129.710000
1600.000000,-90.360000
1700.000000,-92.510000
1800.000000,-16.540000
1900.000000,-241.090000
2000.000000,-130.590000
2100.000000,-147.370000
2200.000000,-166.300000
2300.000000,-93.640000
2400.000000,-118.720000
2500.000000,-89.320000
2600.000000,-160.100000
2700.000000,-47.960000
2800.000000,-16.620000
2900.000000,-49.590000
3000.000000,-158.270000
3100.000000,-96.940000
3200.000000,-150.640000
3300.000000,-106.030000
3400.000000,-66.390000
3500.000000,-151.420000
3600.000000,-17.560000
3700.000000,-49.240000
3800.000000,-37.290000
3900.000000,25.750000
4000.000000,-138.880000
4100.000000,-67.280000
4200.000000,65.810000
4300.000000,73.110000
4400.000000,-160.970000
4500.000000,-104.610000
4600.000000,28.950000
4700.000000,-13.190000
4800.000000,-91.110000
4900.000000,-44.720000
5000.000000,-72.050000
