step,pressure
100.000000,-194.950000
200.000000,-193.210000
300.000000,-164.760000
400.000000,-147.070000
500.000000,-262.210000
600.000000,-201.740000
700.000000,-86.640000
800.000000,-178.860000
900.000000,-174.170000
1000.000000,-132.100000
1100.000000,-135.640000
1200.000000,-237.440000
1300.000000,-133.800000
1400.000000,-137.530000
1500.000000,-118.590000
1600.000000,-142.030000
1700.000000,-261.590000
1800.000000,-201.170000
1900.000000,-111.430000
2000.000000,-15.880000
2100.000000,-151.290000
2200.000000,-127.540000
2300.000000,-12.960000
2400.000000,-26.300000
2500.000000,-133.450000
2600.000000,-138.150000
2700.000000,-97.000000
2800.000000,47.990000
2900.000000,-85.550000
3000.000000,-97.850000
3100.000000,-14.700000
3200.000000,0.250000
3300.000000,-41.360000
3400.000000,-105.780000
3500.000000,-58.180000
3600.000000,-62.920000
3700.000000,-143.030000
3800.000000,-35.040000
3900.000000,-113.130000
4000.000000,-51.560000
4100.000000,-56.010000
4200.000000,-75.160000
4300.000000,-117.650000
4400.000000,-88.670000
4500.000000,15.230000
4600.000000,-5.230000
4700.000000,20.090000
4800.000000,-11.930000
4900.000000,-92.710000
5000.000000,-12.460000
