step,pressure
100.000000,-103.660000
200.000000,-155.580000
300.000000,-158.360000
400.000000,-258.240000
500.000000,-4.340000
600.000000,-157.230000
700.000000,-148.440000
800.000000,-168.020000
900.000000,-202.530000
1000.000000,24.470000
1100.000000,-77.770000
1200.000000,-136.830000
1300.000000,-104.580000
1400.000000,-169.970000
1500.000000,-189.570000
1600.000000,-79.590000
1700.000000,-124.270000
1800.000000,-106.240000
1900.000000,-130.330000
2000.000000,-6.490000
2100.000000,-176.740000
2200.000000,0.450000
2300.000000,-11.360000
2400.000000,-69.920000
2500.000000,-90.410000
2600.000000,-158.490000
2700.000000,-128.450000
2800.000000,-218.610000
2900.000000,-171.140000
3000.000000,-116.000000
3100.000000,-50.090000
3200.000000,-69.930000
3300.000000,-59.860000
3400.000000,-58.640000
3500.000000,-31.150000
3600.000000,24.830000
3700.000000,-78.930000
3800.000000,45.730000
3900.000000,-80.490000
4000.000000,-57.480000
4100.000000,-109.480000
4200.000000,-69.820000
4300.000000,15.070000
4400.000000,-18.070000
4500.000000,-63.990000
4600.000000,-105.990000
4700.000000,-54.850000
4800.000000,-79.370000
4900.000000,-35.740000
5000.000000,-110.970000
