step,pressure,run_id,source
100.0,-194.95,run_001,gpu
200.0,-193.21,run_001,gpu
300.0,-164.76,run_001,gpu
400.0,-147.07,run_001,gpu
500.0,-262.21,run_001,gpu
600.0,-201.74,run_001,gpu
700.0,-86.64,run_001,gpu
800.0,-178.86,run_001,gpu
900.0,-174.17,run_001,gpu
1000.0,-132.1,run_001,gpu
1100.0,-135.64,run_001,gpu
1200.0,-237.44,run_001,gpu
1300.0,-133.8,run_001,gpu
1400.0,-137.53,run_001,gpu
1500.0,-118.59,run_001,gpu
1600.0,-142.03,run_001,gpu
1700.0,-261.59,run_001,gpu
1800.0,-201.17,run_001,gpu
1900.0,-111.43,run_001,gpu
2000.0,-15.88,run_001,gpu
2100.0,-151.29,run_001,gpu
2200.0,-127.54,run_001,gpu
2300.0,-12.96,run_001,gpu
2400.0,-26.3,run_001,gpu
2500.0,-133.45,run_001,gpu
2600.0,-138.15,run_001,gpu
2700.0,-97.0,run_001,gpu
2800.0,47.99,run_001,gpu
2900.0,-85.55,run_001,gpu
3000.0,-97.85,run_001,gpu
3100.0,-14.7,run_001,gpu
3200.0,0.25,run_001,gpu
3300.0,-41.36,run_001,gpu
3400.0,-105.78,run_001,gpu
3500.0,-58.18,run_001,gpu
3600.0,-62.92,run_001,gpu
3700.0,-143.03,run_001,gpu
3800.0,-35.04,run_001,gpu
3900.0,-113.13,run_001,gpu
4000.0,-51.56,run_001,gpu
4100.0,-56.01,run_001,gpu
4200.0,-75.16,run_001,gpu
4300.0,-117.65,run_001,gpu
4400.0,-88.67,run_001,gpu
4500.0,15.23,run_001,gpu
4600.0,-5.23,run_001,gpu
4700.0,20.09,run_001,gpu
4800.0,-11.93,run_001,gpu
4900.0,-92.71,run_001,gpu
5000.0,-12.46,run_001,gpu
100.0,-130.29,run_002,gpu
200.0,-167.11,run_002,gpu
300.0,-193.78,run_002,gpu
400.0,-135.52,run_002,gpu
500.0,-93.06,run_002,gpu
600.0,-237.52,run_002,gpu
700.0,-201.4,run_002,gpu
800.0,-100.94,run_002,gpu
900.0,-158.28,run_002,gpu
1000.0,-208.16,run_002,gpu
1100.0,-141.03,run_002,gpu
1200.0,-99.23,run_002,gpu
1300.0,-89.48,run_002,gpu
1400.0,-14.14,run_002,gpu
1500.0,-34.4,run_002,gpu
1600.0,52.88,run_002,gpu
1700.0,-109.01,run_002,gpu
1800.0,-77.07,run_002,gpu
1900.0,-25.68,run_002,gpu
2000.0,-147.09,run_002,gpu
2100.0,-177.32,run_002,gpu
2200.0,-96.41,run_002,gpu
2300.0,-76.52,run_002,gpu
2400.0,-131.94,run_002,gpu
2500.0,-133.77,run_002,gpu
2600.0,-258.81,run_002,gpu
2700.0,-75.73,run_002,gpu
2800.0,-233.84,run_002,gpu
2900.0,-74.3,run_002,gpu
3000.0,-1.28,run_002,gpu
3100.0,-19.68,run_002,gpu
3200.0,6.6,run_002,gpu
3300.0,-17.96,run_002,gpu
3400.0,64.54,run_002,gpu
3500.0,-22.43,run_002,gpu
3600.0,-123.63,run_002,gpu
3700.0,-162.17,run_002,gpu
3800.0,-66.61,run_002,gpu
3900.0,-35.26,run_002,gpu
4000.0,-68.13,run_002,gpu
4100.0,-39.32,run_002,gpu
4200.0,21.68,run_002,gpu
4300.0,-128.32,run_002,gpu
4400.0,-48.49,run_002,gpu
4500.0,-75.62,run_002,gpu
4600.0,-36.36,run_002,gpu
4700.0,-60.11,run_002,gpu
4800.0,-85.82,run_002,gpu
4900.0,-93.52,run_002,gpu
5000.0,-9.09,run_002,gpu
100.0,-147.06,run_003,gpu
200.0,-98.35,run_003,gpu
300.0,-281.42,run_003,gpu
400.0,-308.51,run_003,gpu
500.0,-164.5,run_003,gpu
600.0,-143.06,run_003,gpu
700.0,-255.69,run_003,gpu
800.0,-167.64,run_003,gpu
900.0,-99.94,run_003,gpu
1000.0,-165.81,run_003,gpu
1100.0,-107.58,run_003,gpu
1200.0,-89.79,run_003,gpu
1300.0,-103.27,run_003,gpu
1400.0,103.85,run_003,gpu
1500.0,12.6,run_003,gpu
1600.0,-106.52,run_003,gpu
1700.0,-7.8,run_003,gpu
1800.0,-101.66,run_003,gpu
1900.0,-68.77,run_003,gpu
2000.0,-105.94,run_003,gpu
2100.0,-167.23,run_003,gpu
2200.0,-81.25,run_003,gpu
2300.0,-41.02,run_003,gpu
2400.0,-51.3,run_003,gpu
2500.0,-68.98,run_003,gpu
2600.0,-83.77,run_003,gpu
2700.0,-164.18,run_003,gpu
2800.0,-139.04,run_003,gpu
2900.0,-164.91,run_003,gpu
3000.0,-74.36,run_003,gpu
3100.0,-206.07,run_003,gpu
3200.0,-23.37,run_003,gpu
3300.0,-49.56,run_003,gpu
3400.0,-49.93,run_003,gpu
3500.0,-103.51,run_003,gpu
3600.0,-114.37,run_003,gpu
3700.0,-143.95,run_003,gpu
3800.0,-96.7,run_003,gpu
3900.0,-96.61,run_003,gpu
4000.0,-54.15,run_003,gpu
4100.0,-36.0,run_003,gpu
4200.0,-64.45,run_003,gpu
4300.0,-136.6,run_003,gpu
4400.0,-70.35,run_003,gpu
4500.0,1.79,run_003,gpu
4600.0,8.61,run_003,gpu
4700.0,11.27,run_003,gpu
4800.0,-89.58,run_003,gpu
4900.0,-129.1,run_003,gpu
5000.0,-126.28,run_003,gpu
100.0,-99.64,run_004,gpu
200.0,-168.39,run_004,gpu
300.0,-126.75,run_004,gpu
400.0,-146.29,run_004,gpu
500.0,-212.55,run_004,gpu
600.0,-284.05,run_004,gpu
700.0,-120.6,run_004,gpu
800.0,-198.67,run_004,gpu
900.0,-249.89,run_004,gpu
1000.0,-190.11,run_004,gpu
1100.0,-114.97,run_004,gpu
1200.0,-133.93,run_004,gpu
1300.0,-188.91,run_004,gpu
1400.0,-204.66,run_004,gpu
1500.0,-129.71,run_004,gpu
1600.0,-90.36,run_004,gpu
1700.0,-92.51,run_004,gpu
1800.0,-16.54,run_004,gpu
1900.0,-241.09,run_004,gpu
2000.0,-130.59,run_004,gpu
2100.0,-147.37,run_004,gpu
2200.0,-166.3,run_004,gpu
2300.0,-93.64,run_004,gpu
2400.0,-118.72,run_004,gpu
2500.0,-89.32,run_004,gpu
2600.0,-160.1,run_004,gpu
2700.0,-47.96,run_004,gpu
2800.0,-16.62,run_004,gpu
2900.0,-49.59,run_004,gpu
3000.0,-158.27,run_004,gpu
3100.0,-96.94,run_004,gpu
3200.0,-150.64,run_004,gpu
3300.0,-106.03,run_004,gpu
3400.0,-66.39,run_004,gpu
3500.0,-151.42,run_004,gpu
3600.0,-17.56,run_004,gpu
3700.0,-49.24,run_004,gpu
3800.0,-37.29,run_004,gpu
3900.0,25.75,run_004,gpu
4000.0,-138.88,run_004,gpu
4100.0,-67.28,run_004,gpu
4200.0,65.81,run_004,gpu
4300.0,73.11,run_004,gpu
4400.0,-160.97,run_004,gpu
4500.0,-104.61,run_004,gpu
4600.0,28.95,run_004,gpu
4700.0,-13.19,run_004,gpu
4800.0,-91.11,run_004,gpu
4900.0,-44.72,run_004,gpu
5000.0,-72.05,run_004,gpu
100.0,-204.17,run_005,gpu
200.0,-244.0,run_005,gpu
300.0,-231.49,run_005,gpu
400.0,-172.15,run_005,gpu
500.0,-136.36,run_005,gpu
600.0,-171.0,run_005,gpu
700.0,-191.06,run_005,gpu
800.0,-51.9,run_005,gpu
900.0,-82.42,run_005,gpu
1000.0,-53.0,run_005,gpu
1100.0,-207.39,run_005,gpu
1200.0,-84.11,run_005,gpu
1300.0,-119.64,run_005,gpu
1400.0,-182.46,run_005,gpu
1500.0,-110.63,run_005,gpu
1600.0,-134.03,run_005,gpu
1700.0,-70.2,run_005,gpu
1800.0,-105.53,run_005,gpu
1900.0,-73.94,run_005,gpu
2000.0,-90.5,run_005,gpu
2100.0,-130.62,run_005,gpu
2200.0,-106.74,run_005,gpu
2300.0,-24.58,run_005,gpu
2400.0,-186.76,run_005,gpu
2500.0,-19.54,run_005,gpu
2600.0,-85.99,run_005,gpu
2700.0,-150.25,run_005,gpu
2800.0,-44.4,run_005,gpu
2900.0,-192.19,run_005,gpu
3000.0,-29.56,run_005,gpu
3100.0,-107.34,run_005,gpu
3200.0,-80.46,run_005,gpu
3300.0,-72.65,run_005,gpu
3400.0,-48.98,run_005,gpu
3500.0,-14.9,run_005,gpu
3600.0,70.37,run_005,gpu
3700.0,-34.33,run_005,gpu
3800.0,-1.64,run_005,gpu
3900.0,-59.33,run_005,gpu
4000.0,-99.97,run_005,gpu
4100.0,-92.43,run_005,gpu
4200.0,-165.98,run_005,gpu
4300.0,-16.97,run_005,gpu
4400.0,-75.82,run_005,gpu
4500.0,-223.64,run_005,gpu
4600.0,-40.53,run_005,gpu
4700.0,-161.9,run_005,gpu
4800.0,-181.13,run_005,gpu
4900.0,43.92,run_005,gpu
5000.0,-76.04,run_005,gpu
100.0,-118.81,run_006,gpu
200.0,-114.99,run_006,gpu
300.0,-230.55,run_006,gpu
400.0,-199.78,run_006,gpu
500.0,-130.44,run_006,gpu
600.0,-121.95,run_006,gpu
700.0,-197.86,run_006,gpu
800.0,-136.76,run_006,gpu
900.0,-243.96,run_006,gpu
1000.0,-136.14,run_006,gpu
1100.0,-66.07,run_006,gpu
1200.0,-75.94,run_006,gpu
1300.0,-29.8,run_006,gpu
1400.0,-192.57,run_006,gpu
1500.0,-192.97,run_006,gpu
1600.0,-150.07,run_006,gpu
1700.0,-164.26,run_006,gpu
1800.0,-107.42,run_006,gpu
1900.0,-96.6,run_006,gpu
2000.0,-94.32,run_006,gpu
2100.0,-91.96,run_006,gpu
2200.0,-182.8,run_006,gpu
2300.0,-118.98,run_006,gpu
2400.0,-118.25,run_006,gpu
2500.0,-58.21,run_006,gpu
2600.0,-71.1,run_006,gpu
2700.0,-23.23,run_006,gpu
2800.0,-80.14,run_006,gpu
2900.0,-75.3,run_006,gpu
3000.0,-71.49,run_006,gpu
3100.0,-216.4,run_006,gpu
3200.0,-113.84,run_006,gpu
3300.0,-79.61,run_006,gpu
3400.0,-107.52,run_006,gpu
3500.0,-20.04,run_006,gpu
3600.0,-165.66,run_006,gpu
3700.0,-178.98,run_006,gpu
3800.0,-5.22,run_006,gpu
3900.0,-57.86,run_006,gpu
4000.0,-160.74,run_006,gpu
4100.0,-37.54,run_006,gpu
4200.0,-51.39,run_006,gpu
4300.0,-176.44,run_006,gpu
4400.0,-27.8,run_006,gpu
4500.0,-91.32,run_006,gpu
4600.0,-42.59,run_006,gpu
4700.0,-51.01,run_006,gpu
4800.0,-84.33,run_006,gpu
4900.0,-71.47,run_006,gpu
5000.0,-29.01,run_006,gpu
100.0,-76.11,run_007,gpu
200.0,-270.06,run_007,gpu
300.0,-201.54,run_007,gpu
400.0,-272.8,run_007,gpu
500.0,-236.62,run_007,gpu
600.0,-191.49,run_007,gpu
700.0,-222.53,run_007,gpu
800.0,-159.96,run_007,gpu
900.0,-157.17,run_007,gpu
1000.0,-13.82,run_007,gpu
1100.0,-27.43,run_007,gpu
1200.0,-137.27,run_007,gpu
1300.0,-87.59,run_007,gpu
1400.0,-170.35,run_007,gpu
1500.0,-44.15,run_007,gpu
1600.0,-78.74,run_007,gpu
1700.0,-109.46,run_007,gpu
1800.0,-134.18,run_007,gpu
1900.0,-128.53,run_007,gpu
2000.0,-97.58,run_007,gpu
2100.0,-27.7,run_007,gpu
2200.0,-78.97,run_007,gpu
2300.0,-118.58,run_007,gpu
2400.0,-77.28,run_007,gpu
2500.0,-209.44,run_007,gpu
2600.0,-202.61,run_007,gpu
2700.0,-164.43,run_007,gpu
2800.0,-176.21,run_007,gpu
2900.0,-147.57,run_007,gpu
3000.0,-91.8,run_007,gpu
3100.0,76.43,run_007,gpu
3200.0,4.32,run_007,gpu
3300.0,-152.13,run_007,gpu
3400.0,-7.13,run_007,gpu
3500.0,-44.69,run_007,gpu
3600.0,20.62,run_007,gpu
3700.0,-42.27,run_007,gpu
3800.0,-67.54,run_007,gpu
3900.0,-175.38,run_007,gpu
4000.0,-147.76,run_007,gpu
4100.0,-34.28,run_007,gpu
4200.0,-79.63,run_007,gpu
4300.0,-144.96,run_007,gpu
4400.0,-43.75,run_007,gpu
4500.0,-14.86,run_007,gpu
4600.0,-13.8,run_007,gpu
4700.0,24.96,run_007,gpu
4800.0,-9.59,run_007,gpu
4900.0,-139.11,run_007,gpu
5000.0,-133.47,run_007,gpu
100.0,-68.18,run_008,gpu
200.0,-175.82,run_008,gpu
300.0,-273.55,run_008,gpu
400.0,-111.88,run_008,gpu
500.0,-198.19,run_008,gpu
600.0,-44.99,run_008,gpu
700.0,-144.52,run_008,gpu
800.0,-97.88,run_008,gpu
900.0,-124.89,run_008,gpu
1000.0,-92.12,run_008,gpu
1100.0,-15.86,run_008,gpu
1200.0,-210.86,run_008,gpu
1300.0,-65.14,run_008,gpu
1400.0,-61.82,run_008,gpu
1500.0,-183.49,run_008,gpu
1600.0,-147.81,run_008,gpu
1700.0,-127.42,run_008,gpu
1800.0,-145.23,run_008,gpu
1900.0,-175.89,run_008,gpu
2000.0,-79.57,run_008,gpu
2100.0,-28.51,run_008,gpu
2200.0,22.08,run_008,gpu
2300.0,-101.52,run_008,gpu
2400.0,-272.82,run_008,gpu
2500.0,-90.94,run_008,gpu
2600.0,-97.35,run_008,gpu
2700.0,-215.55,run_008,gpu
2800.0,-87.9,run_008,gpu
2900.0,-158.05,run_008,gpu
3000.0,-109.05,run_008,gpu
3100.0,-85.99,run_008,gpu
3200.0,-85.82,run_008,gpu
3300.0,-116.01,run_008,gpu
3400.0,-54.46,run_008,gpu
3500.0,-134.41,run_008,gpu
3600.0,73.59,run_008,gpu
3700.0,-37.83,run_008,gpu
3800.0,-65.49,run_008,gpu
3900.0,-156.74,run_008,gpu
4000.0,13.48,run_008,gpu
4100.0,-43.1,run_008,gpu
4200.0,-104.52,run_008,gpu
4300.0,-85.43,run_008,gpu
4400.0,-55.47,run_008,gpu
4500.0,29.38,run_008,gpu
4600.0,-76.67,run_008,gpu
4700.0,-188.81,run_008,gpu
4800.0,23.06,run_008,gpu
4900.0,-94.84,run_008,gpu
5000.0,-56.44,run_008,gpu
100.0,-103.66,run_009,gpu
200.0,-155.58,run_009,gpu
300.0,-158.36,run_009,gpu
400.0,-258.24,run_009,gpu
500.0,-4.34,run_009,gpu
600.0,-157.23,run_009,gpu
700.0,-148.44,run_009,gpu
800.0,-168.02,run_009,gpu
900.0,-202.53,run_009,gpu
1000.0,24.47,run_009,gpu
1100.0,-77.77,run_009,gpu
1200.0,-136.83,run_009,gpu
1300.0,-104.58,run_009,gpu
1400.0,-169.97,run_009,gpu
1500.0,-189.57,run_009,gpu
1600.0,-79.59,run_009,gpu
1700.0,-124.27,run_009,gpu
1800.0,-106.24,run_009,gpu
1900.0,-130.33,run_009,gpu
2000.0,-6.49,run_009,gpu
2100.0,-176.74,run_009,gpu
2200.0,0.45,run_009,gpu
2300.0,-11.36,run_009,gpu
2400.0,-69.92,run_009,gpu
2500.0,-90.41,run_009,gpu
2600.0,-158.49,run_009,gpu
2700.0,-128.45,run_009,gpu
2800.0,-218.61,run_009,gpu
2900.0,-171.14,run_009,gpu
3000.0,-116.0,run_009,gpu
3100.0,-50.09,run_009,gpu
3200.0,-69.93,run_009,gpu
