step,pressure
100.000000,-130.290000
200.000000,-167.110000
300.000000,-193.780000
400.000000,-135.520000
500.000000,-93.060000
600.000000,-237.520000
700.000000,-201.400000
800.000000,-100.940000
900.000000,-158.280000
1000.000000,-208.160000
1100.000000,-141.030000
1200.000000,-99.230000
1300.000000,-89.480000
1400.000000,-14.140000
1500.000000,-34.400000
1600.000000,52.880000
1700.000000,-109.010000
1800.000000,-77.070000
1900.000000,-25.680000
2000.000000,-147.090000
2100.000000,-177.320000
2200.000000,-96.410000
2300.000000,-76.520000
2400.000000,-131.940000
2500.000000,-133.770000
2600.000000,-258.810000
2700.000000,-75.730000
2800.000000,-233.840000
2900.000000,-74.300000
3000.000000,-1.280000
3100.000000,-19.680000
3200.000000,6.600000
3300.000000,-17.960000
3400.000000,64.540000
3500.000000,-22.430000
3600.000000,-123.630000
3700.000000,-162.170000
3800.000000,-66.610000
3900.000000,-35.260000
4000.000000,-68.130000
4100.000000,-39.320000
4200.000000,21.680000
4300.000000,-128.320000
4400.000000,-48.490000
4500.000000,-75.620000
4600.000000,-36.360000
4700.000000,-60.110000
4800.000000,-85.820000
4900.000000,-93.520000
5000.000000,-9.090000
