step,pressure
100.000000,-204.170000
200.000000,-244.000000
300.000000,-231.490000
400.000000,-172.150000
500.000000,-136.360000
600.000000,-171.000000
700.000000,-191.060000
800.000000,-51.900000
900.000000,-82.420000
1000.000000,-53.000000
1100.000000,-207.390000
1200.000000,-84.110000
1300.000000,-119.640000
1400.000000,-182.460000
1500.000000,-110.630000
1600.000000,-134.030000
1700.000000,-70.200000
1800.000000,-105.530000
1900.000000,-73.940000
2000.000000,-90.500000
2100.000000,-130.620000
2200.000000,-106.740000
2300.000000,-24.580000
2400.000000,-186.760000
2500.000000,-19.540000
2600.000000,-85.990000
2700.000000,-150.250000
2800.000000,-44.400000
2900.000000,-192.190000
3000.000000,-29.560000
3100.000000,-107.340000
3200.000000,-80.460000
3300.000000,-72.650000
3400.000000,-48.980000
3500.000000,-14.900000
3600.000000,70.370000
3700.000000,-34.330000
3800.000000,-1.640000
3900.000000,-59.330000
4000.000000,-99.970000
4100.000000,-92.430000
4200.000000,-165.980000
4300.000000,-16.970000
4400.000000,-75.820000
4500.000000,-223.640000
4600.000000,-40.530000
4700.000000,-161.900000
4800.000000,-181.130000
4900.000000,43.920000
5000.000000,-76.040000
