step,pressure
100.000000,-68.180000
200.000000,-175.820000
300.000000,-273.550000
400.000000,-111.880000
500.000000,-198.190000
600.000000,-44.990000
700.000000,-144.520000
800.000000,-97.880000
900.000000,-124.890000
1000.000000,-92.120000
1100.000000,-15.860000
1200.000000,-210.860000
1300.000000,-65.140000
1400.000000,-61.820000
1500.000000,-183.490000
1600.000000,-147.810000
1700.000000,-127.420000
1800.000000,-145.230000
1900.000000,-175.890000
2000.000000,-79.570000
2100.000000,-28.510000
2200.000000,22.080000
2300.000000,-101.520000
2400.000000,-272.820000
2500.000000,-90.940000
2600.000000,-97.350000
2700.000000,-215.550000
2800.000000,-87.900000
2900.000000,-158.050000
3000.000000,-109.050000
3100.000000,-85.990000
3200.000000,-85.820000
3300.000000,-116.010000
3400.000000,-54.460000
3500.000000,-134.410000
3600.000000,73.590000
3700.000000,-37.830000
3800.000000,-65.490000
3900.000000,-156.740000
4000.000000,13.480000
4100.000000,-43.100000
4200.000000,-104.520000
4300.000000,-85.430000
4400.000000,-55.470000
4500.000000,29.380000
4600.000000,-76.670000
4700.000000,-188.810000
4800.000000,23.060000
4900.000000,-94.840000
5000.000000,-56.440000
