step,pressure
100.000000,-118.810000
200.000000,-114.990000
300.000000,-230.550000
400.000000,-199.780000
500.000000,-130.440000
600.000000,-121.950000
700.000000,-197.860000
800.000000,-136.760000
900.000000,-243.960000
1000.000000,-136.140000
1100.000000,-66.070000
1200.000000,-75.940000
1300.000000,-29.800000
1400.000000,-192.570000
1500.000000,-192.970000
1600.000000,-150.070000
1700.000000,-164.260000
1800.000000,-107.420000
1900.000000,-96.600000
2000.000000,-94.320000
2100.000000,-91.960000
2200.000000,-182.800000
2300.000000,-118.980000
2400.000000,-118.250000
2500.000000,-58.210000
2600.000000,-71.100000
2700.000000,-23.230000
2800.000000,-80.140000
2900.000000,-75.300000
3000.000000,-71.490000
3100.000000,-216.400000
3200.000000,-113.840000
3300.000000,-79.610000
3400.000000,-107.520000
3500.000000,-20.040000
3600.000000,-165.660000
3700.000000,-178.980000
3800.000000,-5.220000
3900.000000,-57.860000
4000.000000,-160.740000
4100.000000,-37.540000
4200.000000,-51.390000
4300.000000,-176.440000
4400.000000,-27.800000
4500.000000,-91.320000
4600.000000,-42.590000
4700.000000,-51.010000
4800.000000,-84.330000
4900.000000,-71.470000
5000.000000,-29.010000
