Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.013087,0.001792,0.005059,0.000768,0.001020,0.000147,0.003037,0.001292,0.000380
200,0.000000,0.151400,0.022093,0.392067,0.023036,0.000677,0.001209,0.032370,0.002908,0.010819
300,0.000000,0.610448,0.023730,0.658532,0.050182,0.068332,0.035257,0.352446,0.107633,0.073645
400,0.000000,0.909031,0.050472,0.223904,0.042709,0.096601,0.046537,0.163359,0.438732,0.125698
500,0.000000,0.076290,0.105014,0.398025,0.038044,1.095428,0.075101,0.973695,0.122217,0.215320
600,0.000000,0.162931,0.183840,0.880170,0.034728,0.155697,0.064098,0.872915,0.320139,0.244772
700,0.000000,1.087138,0.047701,0.009359,0.038416,0.191357,0.099707,0.229701,0.158658,0.013187
800,0.000000,0.960005,0.045881,0.653373,0.058997,0.302167,0.183131,0.547949,0.730526,0.517025
900,0.000000,0.574866,0.002226,0.339437,0.050248,0.093314,0.152230,0.726517,1.134311,0.169022
1000,0.000000,0.461971,0.014960,0.659161,0.046701,0.235609,0.041537,0.793693,1.017626,0.014721
1100,0.000000,0.259533,0.110008,0.525212,0.014941,0.035475,0.147135,1.002577,1.050842,0.140026
1200,0.000000,0.430215,0.123655,0.503718,0.013553,0.344431,0.134142,1.359076,0.017217,0.076999
1300,0.000000,0.023226,0.124175,0.772406,0.143749,1.486753,0.165808,2.274610,0.146486,0.163460
1400,0.000000,0.163715,0.046472,0.750324,0.100289,0.286571,0.143107,0.421982,0.673181,0.340205
1500,0.000000,1.238515,0.166731,1.178064,0.248196,0.429800,0.024850,1.818610,0.165518,0.242883
1600,0.000000,0.730643,0.104020,0.979492,0.191480,0.342868,0.291620,1.020249,0.576783,0.056312
1700,0.000000,0.653900,0.150732,0.094786,0.114664,0.118529,0.147739,1.688494,0.153667,0.019072
1800,0.000000,0.295426,0.172210,1.351308,0.275063,0.692999,0.133458,0.131338,1.320677,0.226339
1900,0.000000,0.448851,0.024381,1.039982,0.118459,0.504182,0.021067,1.279055,0.789237,0.223186
2000,0.000000,1.273285,0.054858,0.959860,0.131197,0.548277,0.222307,1.105385,0.688816,0.022579
2100,0.000000,0.376792,0.006846,0.191338,0.036068,0.338868,0.026322,0.229180,0.703782,0.209260
2200,0.000000,0.156630,0.047154,1.100037,0.148493,0.378185,0.072676,0.391534,1.328083,0.512591
2300,0.000000,1.573132,0.101633,0.575232,0.126047,0.223022,0.087880,0.987956,0.140516,0.348817
2400,0.000000,0.526439,0.106736,0.224724,0.031404,0.284031,0.266739,0.208341,1.385578,0.816211
2500,0.000000,0.924214,0.034907,1.534651,0.131830,0.871465,0.094020,1.279935,0.006275,0.251317
2600,0.000000,0.409182,0.051887,0.641962,0.005470,1.051188,0.073767,1.125390,1.459455,0.158334
2700,0.000000,0.327661,0.213614,1.656568,0.002840,0.450985,0.035151,0.540328,0.125421,0.184544
2800,0.000000,0.097045,0.101324,0.982085,0.188970,0.611264,0.056248,1.035678,1.015597,0.082461
2900,0.000000,0.617657,0.003986,0.362702,0.049468,0.392264,0.099443,0.947361,1.212930,0.404066
3000,0.000000,0.373744,0.103058,0.767542,0.147577,0.765521,0.208545,1.151032,1.051332,0.249433
3100,0.000000,0.295480,0.105635,0.734212,0.025680,0.865734,0.076941,0.814180,0.455482,0.043625
3200,0.000000,1.014077,0.029474,0.168080,0.044291,1.063510,0.026925,0.531055,0.159489,0.348915
3300,0.000000,0.992756,0.055157,0.072741,0.050281,0.514256,0.030157,0.664416,0.275400,0.168206
3400,0.000000,0.843462,0.060974,1.194568,0.162757,0.942436,0.298096,0.890705,1.104596,0.526756
3500,0.000000,0.224170,0.146209,0.601720,0.066017,0.082963,0.165823,1.486182,0.008365,0.229698
3600,0.000000,0.144523,0.078418,1.714543,0.125371,0.963463,0.105066,1.159911,0.817887,0.621986
3700,0.000000,0.063481,0.086918,1.830225,0.273609,0.384425,0.084588,0.938923,0.674599,0.163893
3800,0.000000,1.582461,0.035778,0.499996,0.039468,1.370009,0.120094,2.503922,0.081185,0.383175
3900,0.000000,0.288891,0.133779,0.251764,0.051422,1.193338,0.159781,1.241203,1.620510,0.265777
4000,0.000000,0.908605,0.083789,0.607561,0.094983,1.718342,0.225987,0.494378,0.309852,0.259383
4100,0.000000,0.080751,0.073891,0.104003,0.027843,0.350100,0.177104,1.045613,0.467854,0.126823
4200,0.000000,0.895064,0.050232,1.968731,0.191766,1.182465,0.072498,0.262092,0.610266,0.084021
4300,0.000000,2.207678,0.045946,0.144747,0.061447,1.061568,0.051654,0.621011,0.414846,0.205620
4400,0.000000,0.730438,0.039273,0.062714,0.037614,0.473268,0.185087,0.851320,0.250192,0.436764
4500,0.000000,0.263307,0.097814,0.215727,0.073279,0.194891,0.140951,1.592271,1.389726,0.035790
4600,0.000000,1.045040,0.139141,0.220052,0.067115,0.381302,0.240869,1.851142,0.599715,0.372884
4700,0.000000,0.635248,0.002957,0.384424,0.030749,1.110203,0.259519,2.883012,0.733071,0.408560
4800,0.000000,1.092127,0.001755,1.081373,0.125626,1.677413,0.146553,2.004852,0.422076,0.245748
4900,0.000000,0.369827,0.049649,1.263744,0.172313,0.651866,0.066999,1.711539,0.015580,0.249710
5000,0.000000,0.311986,0.035718,0.393081,0.014324,0.535752,0.109149,2.458664,0.023943,0.112653
