Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.009767,0.000995,0.006391,0.000070,0.001698,0.000059,0.001267,0.001129,0.000095
200,0.000000,0.139190,0.045409,0.692393,0.106351,0.036394,0.036420,0.004116,0.124734,0.071549
300,0.000000,0.365476,0.043634,0.744744,0.048107,0.386677,0.213207,1.355211,0.523756,0.064527
400,0.000000,0.182708,0.074889,0.648744,0.112571,0.462331,0.019792,1.211726,0.086526,0.032710
500,0.000000,1.596951,0.051372,0.444564,0.060120,0.078642,0.137580,1.122923,0.123865,0.053367
600,0.000000,0.248293,0.043483,1.531183,0.124165,0.513094,0.171661,1.807231,0.616163,0.454706
700,0.000000,0.749378,0.049403,0.154484,0.085313,1.429358,0.181036,1.201676,2.254284,0.349824
800,0.000000,0.184085,0.050921,0.612800,0.000000,1.208127,0.315582,1.232102,0.458608,0.088281
900,0.000000,1.246971,0.158353,0.970547,0.197621,0.645068,0.139533,2.006431,1.937793,0.434604
1000,0.000000,0.806844,0.103304,0.372595,0.125042,0.033324,0.363700,1.741428,1.352078,0.352962
1100,0.000000,0.784732,0.083862,0.376636,0.148087,0.049185,0.112696,2.059563,2.571797,0.021925
1200,0.000000,1.543250,0.138417,0.895404,0.199542,1.183474,0.002768,2.683545,0.344237,0.327523
1300,0.000000,0.267276,0.049114,2.219211,0.294237,1.438527,0.062418,0.225256,2.367499,0.264937
1400,0.000000,0.096379,0.085461,0.520254,0.114239,0.662294,0.250104,0.498193,0.465578,1.078702
1500,0.000000,0.306113,0.055446,0.391796,0.094424,0.313025,0.165217,3.703630,0.307077,0.218076
1600,0.000000,0.886031,0.043714,0.775964,0.092957,1.043193,0.201720,2.035641,3.729450,0.232868
1700,0.000000,0.480615,0.004916,1.345850,0.121500,1.103858,0.312972,2.561479,1.619842,0.768072
1800,0.000000,0.442350,0.039609,0.513481,0.026178,0.224427,0.366521,0.307596,1.172921,0.268758
1900,0.000000,1.046199,0.056994,0.133490,0.036848,0.783865,0.186705,0.872216,1.690471,0.711942
2000,0.000000,0.438470,0.111993,0.176559,0.093075,1.781806,0.016171,2.250221,0.630420,0.122725
2100,0.000000,0.035161,0.122359,1.024149,0.155105,0.463908,0.155516,1.944041,0.869348,0.688247
2200,0.000000,0.287889,0.087631,0.182285,0.021690,0.206669,0.592665,3.722703,0.248683,0.289094
2300,0.000000,0.698877,0.102165,0.644480,0.097408,0.306934,0.238086,2.853697,2.033988,0.086320
2400,0.000000,0.153595,0.054409,0.609610,0.046305,0.025182,0.129046,1.785762,0.113110,0.111523
2500,0.000000,0.063818,0.018659,1.028867,0.135656,0.390259,0.049326,2.357408,0.015226,0.168964
2600,0.000000,0.965566,0.045170,0.776078,0.017544,1.348835,0.208111,0.111528,1.063213,0.415770
2700,0.000000,0.374304,0.086762,0.620620,0.123853,0.343015,0.162155,0.683654,0.134717,0.467197
2800,0.000000,0.234132,0.006430,0.562889,0.028710,0.555483,0.044134,1.308840,1.648522,0.253345
2900,0.000000,0.242843,0.076329,1.832377,0.242577,0.186619,0.049896,0.235017,0.382489,0.468841
3000,0.000000,0.860160,0.021365,1.317214,0.176621,0.098259,0.054035,1.057703,0.056342,0.538646
3100,0.000000,0.786012,0.042656,1.086304,0.061865,0.327041,0.087288,4.486028,0.660694,0.629790
3200,0.000000,0.570806,0.049636,0.940813,0.097489,0.770268,0.342248,3.050863,2.416907,0.121827
3300,0.000000,0.179424,0.038102,1.681107,0.114133,0.270078,0.178539,0.885389,0.791504,0.414648
3400,0.000000,0.006456,0.022441,1.336844,0.126352,0.552277,0.700261,0.627576,3.751019,0.596670
3500,0.000000,0.806554,0.142888,1.388020,0.227776,1.813043,0.239120,0.759914,0.679424,0.455522
3600,0.000000,0.992587,0.047345,1.824803,0.238532,1.778547,0.148225,3.581037,0.282253,0.314965
3700,0.000000,0.920147,0.050638,0.853043,0.090183,0.041531,0.039492,0.076553,1.238576,0.208982
3800,0.000000,0.739981,0.018602,0.591570,0.165697,2.912609,0.599660,2.510415,0.205413,0.886203
3900,0.000000,0.093588,0.096612,0.719872,0.070696,1.135138,0.291013,4.918853,0.920463,0.469119
4000,0.000000,0.089491,0.046274,0.498096,0.055523,0.857550,0.134053,4.036852,1.024582,0.887259
4100,0.000000,0.722511,0.022270,1.897759,0.240480,0.054010,0.055701,0.508820,0.281956,0.680678
4200,0.000000,1.061992,0.224574,1.238774,0.306602,1.623317,0.399907,0.249423,2.736465,0.528171
4300,0.000000,0.614793,0.024809,1.034224,0.159914,0.984711,0.335428,0.468903,0.012850,0.388204
4400,0.000000,0.301147,0.089720,0.046754,0.093797,1.985527,0.053074,2.557111,0.734341,0.057417
4500,0.000000,0.560108,0.187034,0.845195,0.232592,0.877925,0.279760,1.295603,2.627662,0.149320
4600,0.000000,0.220892,0.149499,0.186425,0.139829,0.416321,0.341586,0.483072,1.184171,0.700064
4700,0.000000,1.199567,0.193376,0.388355,0.254291,0.745618,0.134586,1.475344,1.758766,0.343719
4800,0.000000,0.189145,0.015232,1.685510,0.229999,0.942228,0.007151,0.305044,2.111138,0.749143
4900,0.000000,0.538444,0.048046,1.343997,0.170811,0.388457,0.304548,3.470319,2.795440,0.011078
5000,0.000000,0.635422,0.073239,1.144552,0.056775,0.168378,0.392956,0.345262,1.100277,0.329159
