Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.006656,0.000794,0.052519,0.006247,0.017265,0.001292,0.014036,0.000484,0.001524
200,0.000000,0.036386,0.013057,0.052489,0.015069,0.045614,0.001148,0.028784,0.003525,0.005237
300,0.000000,0.262781,0.038152,0.215811,0.007410,0.136327,0.007323,0.021688,0.047395,0.007993
400,0.000000,1.156166,0.148238,0.143742,0.091245,0.032016,0.035482,0.274218,0.206808,0.050990
500,0.000000,0.331582,0.021492,0.197257,0.011413,0.471264,0.089299,0.103633,0.201056,0.042066
600,0.000000,0.282410,0.097481,1.360820,0.072762,0.505425,0.039189,0.396875,0.067558,0.006452
700,0.000000,0.076346,0.090651,0.210379,0.072797,0.242904,0.062630,0.595248,0.520291,0.012991
800,0.000000,0.256504,0.112994,1.148049,0.224851,0.816337,0.157205,0.494124,0.152103,0.004200
900,0.000000,0.142582,0.055648,0.302134,0.012216,0.473691,0.047972,0.599604,0.103647,0.126179
1000,0.000000,0.277648,0.048537,0.697054,0.120832,0.463972,0.000324,0.186273,0.618828,0.181190
1100,0.000000,0.815552,0.013850,0.583291,0.047216,0.030049,0.005126,0.782212,0.243561,0.232031
1200,0.000000,0.712871,0.075189,1.366950,0.197773,0.263944,0.094475,0.430613,0.636985,0.130734
1300,0.000000,0.392039,0.093914,1.489900,0.213342,0.248021,0.092279,0.979012,0.310431,0.014152
1400,0.000000,0.543315,0.107127,0.131600,0.080003,0.481505,0.101720,0.761115,0.524799,0.112265
1500,0.000000,0.606081,0.000627,0.728225,0.089064,0.001671,0.068218,0.767761,0.049075,0.033681
1600,0.000000,1.022516,0.021660,0.506832,0.003649,0.682976,0.061991,0.305777,0.460425,0.515312
1700,0.000000,0.110854,0.031784,1.354487,0.191960,0.414884,0.140479,0.114577,0.393389,0.173060
1800,0.000000,0.076715,0.166949,1.812486,0.294116,0.573317,0.094673,0.366571,0.421300,0.195952
1900,0.000000,0.759350,0.127318,0.439797,0.051556,0.404611,0.017691,0.286884,0.071598,0.128848
2000,0.000000,0.498578,0.018054,0.811906,0.093439,1.084390,0.032142,1.261943,0.349483,0.148405
2100,0.000000,0.585425,0.009813,0.050728,0.002198,0.263842,0.089518,1.027993,0.002092,0.012996
2200,0.000000,0.010009,0.095457,0.517601,0.016304,0.008098,0.239541,0.891139,0.979555,0.021293
2300,0.000000,0.280009,0.146898,1.224150,0.024479,0.858201,0.004900,0.782478,0.153998,0.081052
2400,0.000000,0.016658,0.153571,1.205580,0.226804,0.084756,0.013195,0.487392,0.112626,0.224408
2500,0.000000,0.156089,0.046501,1.279242,0.157956,0.404583,0.117195,0.907867,0.064048,0.117038
2600,0.000000,0.009987,0.159105,0.824098,0.016575,0.218714,0.060171,0.455854,0.318302,0.190799
2700,0.000000,0.077176,0.018037,2.799325,0.327925,0.165431,0.088450,0.883327,0.364881,0.263346
2800,0.000000,0.212321,0.316978,2.442847,0.481805,0.276693,0.113939,0.534098,0.769434,0.505275
2900,0.000000,1.016111,0.092943,0.602580,0.121119,0.395503,0.078734,1.336684,0.969738,0.048824
3000,0.000000,1.065073,0.244886,0.225488,0.121473,0.629764,0.208365,0.005639,0.525096,0.149779
3100,0.000000,1.222584,0.057278,0.016624,0.020130,0.153776,0.173281,0.697743,0.240949,0.100587
3200,0.000000,0.463102,0.119524,0.129611,0.086503,0.109943,0.029933,0.326726,0.771212,0.058695
3300,0.000000,0.259352,0.015839,0.039217,0.010023,0.109207,0.033046,0.499660,0.012046,0.043490
3400,0.000000,0.316203,0.167695,0.074971,0.156100,0.821270,0.198043,0.964650,0.388187,0.068975
3500,0.000000,0.169717,0.134683,0.590798,0.037439,0.275192,0.006735,0.401008,0.166719,0.023640
3600,0.000000,0.523332,0.124897,0.980185,0.182180,0.142788,0.008283,0.977757,1.207107,0.046742
3700,0.000000,0.454682,0.331191,0.816383,0.319782,0.444783,0.056764,0.834229,0.727745,0.067659
3800,0.000000,1.013276,0.049726,1.418814,0.209890,0.664365,0.054859,0.494123,0.991784,0.063620
3900,0.000000,0.569552,0.190539,1.533084,0.055675,0.202634,0.253285,0.064454,0.309200,0.480297
4000,0.000000,0.553943,0.052383,0.155784,0.054537,0.641467,0.023252,1.459346,1.531551,0.003248
4100,0.000000,0.385066,0.182034,0.262820,0.167265,0.357341,0.090692,0.338235,0.023534,0.068118
4200,0.000000,0.142919,0.076583,0.910415,0.146892,0.152865,0.028400,1.121018,0.662192,0.072997
4300,0.000000,0.070047,0.037210,1.020514,0.087050,0.048572,0.019969,0.451197,0.683065,0.267727
4400,0.000000,0.427951,0.103827,0.224108,0.032995,0.410192,0.111651,0.536912,0.782223,0.321000
4500,0.000000,0.993389,0.042967,0.290984,0.054728,0.391062,0.030724,0.923002,0.572954,0.082666
4600,0.000000,0.248451,0.000265,0.755708,0.077547,0.714599,0.040202,0.486461,1.388794,0.366731
4700,0.000000,0.374296,0.085797,0.520975,0.094081,0.110154,0.063188,0.119121,0.530684,0.348733
4800,0.000000,0.079177,0.002155,0.174679,0.034585,0.530648,0.129524,0.548921,0.301556,0.101237
4900,0.000000,0.428714,0.038653,0.829648,0.082476,0.243149,0.187307,1.488695,0.579037,0.228334
5000,0.000000,0.622980,0.095766,1.956179,0.285528,0.297055,0.069548,0.511287,0.341040,0.224474
