Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.012955,0.001271,0.004706,0.001400,0.000993,0.000147,0.000984,0.000441,0.000283
200,0.000000,0.090224,0.015963,0.038533,0.008197,0.006943,0.001589,0.002258,0.003935,0.003492
300,0.000000,0.225030,0.067746,1.250685,0.176215,0.003366,0.018851,0.012717,0.035857,0.084425
400,0.000000,0.304439,0.130867,0.039669,0.089094,0.038831,0.010982,0.082598,0.043057,0.035867
500,0.000000,0.890683,0.080681,1.916193,0.255870,0.165925,0.063357,0.067128,0.027724,0.176023
600,0.000000,0.410791,0.080448,0.028899,0.053538,0.283476,0.016998,0.141986,0.366466,0.117297
700,0.000000,0.917787,0.105392,0.605730,0.019679,0.018639,0.002978,0.165648,0.141373,0.176947
800,0.000000,0.106503,0.022805,0.727072,0.096504,0.169820,0.000147,0.271871,0.428914,0.051180
900,0.000000,0.077347,0.009626,1.682514,0.178026,0.080636,0.061557,0.719413,0.070074,0.036194
1000,0.000000,0.721823,0.087086,0.465027,0.097060,0.039157,0.177162,0.415424,0.350556,0.011525
1100,0.000000,0.691096,0.170300,0.146628,0.101830,0.180893,0.037066,0.039122,0.383568,0.245968
1200,0.000000,1.739413,0.068148,0.504844,0.014834,0.227480,0.032512,0.271878,0.685682,0.118319
1300,0.000000,0.784428,0.109380,0.543285,0.134710,0.281799,0.055179,0.772112,0.801828,0.218758
1400,0.000000,0.729526,0.100528,0.244401,0.100246,0.160860,0.001682,0.613530,0.194139,0.304505
1500,0.000000,1.321727,0.071008,0.927159,0.035649,0.312341,0.079282,0.247811,0.005239,0.062237
1600,0.000000,0.045109,0.227147,0.196814,0.164490,0.212885,0.105834,0.629680,0.302351,0.173624
1700,0.000000,0.543992,0.195840,0.974743,0.057585,0.175854,0.164891,0.317054,0.358608,0.235400
1800,0.000000,0.432384,0.025390,0.271076,0.073109,0.373635,0.218790,0.909465,0.095913,0.114991
1900,0.000000,0.627454,0.075182,0.737274,0.141196,0.008128,0.227578,0.157965,0.417957,0.004527
2000,0.000000,0.411563,0.131724,0.674601,0.151164,0.268509,0.030432,1.409784,0.752703,0.280246
2100,0.000000,1.190126,0.145995,1.065011,0.216455,0.034792,0.016816,1.606570,0.067879,0.521135
2200,0.000000,0.148579,0.005616,1.592473,0.168223,1.195317,0.028738,0.527352,0.256620,0.002455
2300,0.000000,0.456695,0.023576,1.306492,0.121962,0.658895,0.090440,0.467912,0.072530,0.043529
2400,0.000000,0.077439,0.057499,0.373591,0.083577,0.076860,0.068092,1.034622,0.543672,0.034846
2500,0.000000,0.315366,0.117310,0.057938,0.087471,0.634763,0.075576,1.494570,0.608244,0.174736
2600,0.000000,0.566462,0.119604,0.889178,0.005943,0.822570,0.057520,0.145318,0.004579,0.227431
2700,0.000000,1.158351,0.070115,0.423612,0.083698,0.072053,0.184453,0.105698,1.574683,0.053678
2800,0.000000,0.420562,0.200823,0.248696,0.153417,0.086569,0.003332,1.239825,0.122485,0.193031
2900,0.000000,0.973489,0.333560,1.803322,0.421633,0.371034,0.065352,0.210529,0.101778,0.173560
3000,0.000000,0.393368,0.035503,0.461638,0.016809,0.056347,0.074788,0.121419,0.263112,0.363556
3100,0.000000,0.374968,0.074705,0.613992,0.096637,0.162953,0.070609,0.895490,0.574573,0.314140
3200,0.000000,0.847760,0.021093,0.810835,0.079132,0.149258,0.183845,0.354178,0.709360,0.320490
3300,0.000000,0.262060,0.027227,1.021423,0.111367,0.426167,0.010227,1.368513,0.660292,0.211802
3400,0.000000,0.051819,0.045604,0.252279,0.068413,0.583824,0.016581,1.462707,0.115876,0.086246
3500,0.000000,0.306349,0.205272,0.412734,0.177647,0.310512,0.153213,0.296784,0.327070,0.247736
3600,0.000000,0.087597,0.041652,0.033028,0.046144,0.201896,0.137032,0.907732,0.404801,0.084481
3700,0.000000,0.562215,0.094377,0.734441,0.027637,0.536824,0.129466,0.402394,0.260742,0.480179
3800,0.000000,0.052016,0.022861,0.142619,0.044415,0.018159,0.031338,1.158061,0.350442,0.016677
3900,0.000000,0.139037,0.005343,0.769202,0.115968,0.050952,0.070469,1.626287,0.694141,0.290320
4000,0.000000,0.372409,0.149426,0.924940,0.189065,0.657137,0.180676,0.504462,0.318982,0.101199
4100,0.000000,0.563334,0.005220,0.117744,0.012575,0.417218,0.079805,0.088184,0.874086,0.252872
4200,0.000000,0.953065,0.154002,0.308779,0.113997,0.989321,0.138356,0.025293,0.531433,0.020342
4300,0.000000,0.433657,0.216810,0.868326,0.250213,0.596900,0.038629,0.764878,1.002389,0.239438
4400,0.000000,0.443868,0.008708,0.020705,0.005174,0.343241,0.038225,0.416084,0.396653,0.167613
4500,0.000000,0.136461,0.082375,0.224523,0.100642,0.705180,0.005452,1.802482,0.635378,0.133001
4600,0.000000,0.126067,0.011454,0.129711,0.018494,0.605370,0.053890,0.044511,0.641668,0.162322
4700,0.000000,0.210234,0.181928,2.174993,0.367680,0.480840,0.033707,0.973999,0.924094,0.104627
4800,0.000000,0.606784,0.053495,1.702944,0.215824,0.052318,0.002831,0.289698,0.476902,0.345296
4900,0.000000,1.233895,0.199023,0.204054,0.142157,0.072432,0.061471,0.086424,1.022681,0.010585
5000,0.000000,0.512272,0.056919,1.150951,0.186118,0.759980,0.073946,0.623878,0.290692,0.632644
