Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.009957,0.002549,0.013912,0.000419,0.001015,0.000029,0.001714,0.002917,0.000095
200,0.000000,0.158040,0.027804,0.341999,0.012072,0.029316,0.016243,0.125615,0.076822,0.028218
300,0.000000,0.088368,0.032787,0.993336,0.079584,0.695462,0.085149,0.213456,0.829514,0.154420
400,0.000000,0.751357,0.042070,0.209084,0.024850,0.737118,0.022722,0.002536,0.732648,0.377084
500,0.000000,0.869765,0.143040,0.574835,0.152320,0.213121,0.215993,0.609060,0.272022,0.236872
600,0.000000,0.241099,0.009743,0.681070,0.087132,1.627104,0.246780,1.732689,0.334676,0.230797
700,0.000000,0.674636,0.003112,0.991798,0.157373,1.111837,0.541712,2.449253,0.164452,0.456472
800,0.000000,1.114030,0.049389,0.337916,0.040953,0.824110,0.529306,0.146283,0.762543,0.138433
900,0.000000,0.484477,0.095820,0.468462,0.104407,0.905379,0.089689,0.354119,1.043544,0.365634
1000,0.000000,0.570178,0.006062,0.824145,0.071647,1.217852,0.008157,0.100316,1.759907,0.488974
