Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.016278,0.000200,0.002971,0.000211,0.001698,0.000000,0.004225,0.000807,0.000095
200,0.000000,0.016160,0.020477,0.391871,0.052362,0.001020,0.008658,0.060130,0.063535,0.046929
300,0.000000,0.035751,0.040630,0.454340,0.016744,0.423268,0.238563,1.077047,0.459609,0.292839
400,0.000000,0.055394,0.066947,0.747757,0.119164,0.401165,0.186770,1.719275,0.586552,0.068828
500,0.000000,0.360296,0.028476,0.937270,0.085637,0.530607,0.065937,1.077684,0.687202,0.195513
600,0.000000,1.581243,0.116265,0.461695,0.077841,0.681915,0.125196,3.000605,0.014503,0.357407
700,0.000000,1.459175,0.032437,0.293292,0.087483,1.264240,0.009982,0.978790,1.859407,0.591180
800,0.000000,0.155546,0.055081,1.478444,0.108144,0.856140,0.011286,0.360600,0.155055,0.189593
900,0.000000,0.969716,0.029151,0.327579,0.051030,1.466382,0.100412,1.446077,1.209932,0.366227
1000,0.000000,0.267509,0.005776,1.053703,0.105873,0.627717,0.469224,2.706591,2.222740,0.070862
