backend,case,run_id,exit_code,elapsed_s,last_step,nonfinite_flag,log_path,metrics_path
gpu_ref,mdin_npt_andersenbaro,1,0,8,5000,0,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/logs/mdin_npt_andersenbaro.gpu_ref.run1.log,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/metrics/mdin_npt_andersenbaro.gpu_ref.run1.metrics.csv
local_cpu,mdin_npt_andersenbaro,1,0,3138,5000,0,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/logs/mdin_npt_andersenbaro.hybrid_best.run1.log,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/metrics/mdin_npt_andersenbaro.hybrid_best.run1.metrics.csv
gpu_ref,mdin_npt_berendsen,1,0,8,5000,0,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/logs/mdin_npt_berendsen.gpu_ref.run1.log,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/metrics/mdin_npt_berendsen.gpu_ref.run1.metrics.csv
local_cpu,mdin_npt_berendsen,1,0,3161,5000,0,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/logs/mdin_npt_berendsen.hybrid_best.run1.log,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/metrics/mdin_npt_berendsen.hybrid_best.run1.metrics.csv
gpu_ref,mdin_npt_mcbaro,1,0,8,5000,0,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/logs/mdin_npt_mcbaro.gpu_ref.run1.log,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/metrics/mdin_npt_mcbaro.gpu_ref.run1.metrics.csv
local_cpu,mdin_npt_mcbaro,1,0,3068,5000,0,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/logs/mdin_npt_mcbaro.hybrid_best.run1.log,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/metrics/mdin_npt_mcbaro.hybrid_best.run1.metrics.csv
gpu_ref,mdin_nve_shake,1,0,9,5000,0,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/logs/mdin_nve_shake.gpu_ref.run1.log,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/metrics/mdin_nve_shake.gpu_ref.run1.metrics.csv
local_cpu,mdin_nve_shake,1,0,3968,5000,0,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/logs/mdin_nve_shake.hybrid_best.run1.log,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/metrics/mdin_nve_shake.hybrid_best.run1.metrics.csv
gpu_ref,mdin_nvt_andersen,1,0,8,5000,0,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/logs/mdin_nvt_andersen.gpu_ref.run1.log,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/metrics/mdin_nvt_andersen.gpu_ref.run1.metrics.csv
local_cpu,mdin_nvt_andersen,1,0,3059,5000,0,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/logs/mdin_nvt_andersen.hybrid_best.run1.log,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/metrics/mdin_nvt_andersen.hybrid_best.run1.metrics.csv
gpu_ref,mdin_nvt_langevin,1,0,7,5000,0,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/logs/mdin_nvt_langevin.gpu_ref.run1.log,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/metrics/mdin_nvt_langevin.gpu_ref.run1.metrics.csv
local_cpu,mdin_nvt_langevin,1,0,3056,5000,0,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/logs/mdin_nvt_langevin.hybrid_best.run1.log,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/metrics/mdin_nvt_langevin.hybrid_best.run1.metrics.csv
gpu_ref,mdin_nvt_nhc_simple,1,0,8,5000,0,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/logs/mdin_nvt_nhc_simple.gpu_ref.run1.log,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/metrics/mdin_nvt_nhc_simple.gpu_ref.run1.metrics.csv
local_cpu,mdin_nvt_nhc_simple,1,0,3116,5000,0,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/logs/mdin_nvt_nhc_simple.hybrid_best.run1.log,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/metrics/mdin_nvt_nhc_simple.hybrid_best.run1.metrics.csv
gpu_ref,mdin_npt_mcbaro,2,0,8,5000,0,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/logs/mdin_npt_mcbaro.gpu_ref.run2.log,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/metrics/mdin_npt_mcbaro.gpu_ref.run2.metrics.csv
local_cpu,mdin_npt_mcbaro,2,0,3033,5000,0,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/logs/mdin_npt_mcbaro.hybrid_best.run2.log,/home/wuping/cpu_sponge/reports/step5000_seedlock_hybrid_gpu/metrics/mdin_npt_mcbaro.hybrid_best.run2.metrics.csv
