Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.069858,0.015421,3.088861,0.316027,0.033534,0.001820,0.046164,0.017934,0.001901
200,0.000000,0.112282,0.039120,0.460087,0.080984,0.111627,0.014476,0.018091,0.000801,0.076789
300,0.000000,0.006639,0.013335,0.182578,0.001315,0.220508,0.034600,0.082121,0.044323,0.085692
400,0.000000,0.225528,0.102831,0.556936,0.134556,0.043008,0.018323,0.280504,0.037143,0.042199
500,0.000000,0.122496,0.305064,0.872275,0.143792,0.202444,0.007795,0.760756,0.102784,0.086321
600,0.000000,0.104142,0.037712,1.116512,0.142209,0.177516,0.058213,0.122845,0.140854,0.027265
700,0.000000,0.344782,0.080890,0.209216,0.072779,0.207339,0.079981,0.332438,0.045282,0.027739
800,0.000000,1.484067,0.154140,1.255822,0.223989,0.174874,0.076252,0.418568,0.053430,0.268007
900,0.000000,0.372886,0.044286,0.342003,0.015298,0.272253,0.008957,0.912050,0.033902,0.313721
1000,0.000000,0.510410,0.054519,0.491175,0.004708,0.574983,0.156324,0.574137,0.323703,0.114120
1100,0.000000,0.200796,0.023279,1.302578,0.136322,0.636429,0.064995,0.948463,0.631423,0.188180
1200,0.000000,1.091273,0.106928,0.443361,0.116722,0.200185,0.042740,0.116047,0.132558,0.579242
1300,0.000000,0.602833,0.077158,1.340643,0.162904,0.161224,0.150463,0.108099,0.200365,0.449716
1400,0.000000,0.033401,0.056459,0.719414,0.019876,1.015677,0.177032,0.029194,0.166157,0.002100
1500,0.000000,1.379993,0.025114,0.127422,0.021637,0.122858,0.130922,1.518816,1.183571,0.085283
1600,0.000000,0.472255,0.067681,0.609102,0.147817,0.537634,0.163688,0.769758,0.838254,0.207906
1700,0.000000,1.214521,0.163577,0.271997,0.154870,0.437654,0.063833,0.319697,0.487242,0.457946
1800,0.000000,0.387701,0.057505,0.264444,0.079040,0.091379,0.060128,1.118151,0.002934,0.089267
1900,0.000000,0.116372,0.031647,0.706599,0.121998,0.091452,0.003530,0.504308,0.844861,0.275132
2000,0.000000,0.311485,0.053123,1.747909,0.203056,0.517442,0.000561,0.537871,0.093376,0.448617
2100,0.000000,1.075340,0.147049,0.592492,0.176675,0.297457,0.063861,1.018053,0.267219,0.266418
2200,0.000000,0.934205,0.021829,1.682588,0.194379,0.270730,0.132795,0.483932,0.239587,0.461113
2300,0.000000,0.251703,0.149159,0.204423,0.060048,0.943231,0.087861,0.339484,0.397920,0.332358
2400,0.000000,0.324192,0.233891,0.984395,0.258878,0.118367,0.038578,0.733211,0.085277,0.292333
2500,0.000000,0.607106,0.132511,1.834025,0.247255,0.194083,0.026349,1.152714,0.212010,0.721293
2600,0.000000,1.385627,0.239621,2.107486,0.384590,0.184388,0.083394,1.277686,0.518798,0.031486
2700,0.000000,1.186784,0.209004,0.101940,0.135429,0.223570,0.039285,0.188584,0.565838,0.422018
2800,0.000000,0.304144,0.038253,1.354458,0.076931,0.123342,0.187243,0.334164,0.349963,0.361755
2900,0.000000,0.059656,0.090667,0.473495,0.129866,0.216655,0.131220,0.164244,0.057209,0.057886
3000,0.000000,0.595058,0.243017,1.759570,0.388438,0.201823,0.159735,0.417309,0.795391,0.020240
3100,0.000000,0.240706,0.129223,0.719194,0.182101,0.244482,0.132647,0.124719,0.335438,0.129258
3200,0.000000,0.136235,0.092793,0.669020,0.030778,0.309144,0.093611,1.440483,0.792074,0.920919
3300,0.000000,0.190642,0.042127,1.227772,0.104109,0.367350,0.007700,0.184142,0.041468,0.432436
3400,0.000000,0.023357,0.066226,1.284344,0.216687,0.335019,0.036472,0.272336,0.213471,0.863727
3500,0.000000,0.150060,0.056027,0.314130,0.044529,0.555554,0.225033,0.625434,0.526037,0.825586
3600,0.000000,0.561779,0.046648,1.345075,0.130980,0.649152,0.350157,0.324839,1.528563,0.638920
3700,0.000000,0.578304,0.051328,0.498099,0.141171,0.016501,0.317521,0.679619,1.065336,0.301552
3800,0.000000,0.467508,0.001326,0.424732,0.019209,0.024332,0.022219,0.499433,0.033184,0.764834
3900,0.000000,0.500588,0.001278,0.104672,0.022472,0.109812,0.117272,0.694175,0.440591,0.342506
4000,0.000000,1.187375,0.179790,0.452817,0.175561,1.199883,0.122567,0.979132,0.003269,0.811196
4100,0.000000,0.225203,0.158281,0.801906,0.058615,0.824730,0.040645,0.059596,0.918883,0.281457
4200,0.000000,0.080421,0.032722,0.015290,0.054702,0.052087,0.132701,1.523974,1.275196,0.295782
4300,0.000000,0.346540,0.130726,0.765398,0.179005,0.577942,0.010864,0.128058,0.101576,0.069012
4400,0.000000,1.086957,0.051160,1.146640,0.158707,1.356266,0.017361,0.800700,0.708884,0.350697
4500,0.000000,0.096802,0.092017,0.956012,0.157293,0.025958,0.027419,0.652095,0.091809,0.073030
4600,0.000000,0.978448,0.002229,0.144162,0.006984,0.296065,0.008964,1.086888,0.523378,0.433900
4700,0.000000,0.286667,0.002217,0.030642,0.010022,0.119948,0.064374,1.078423,0.920959,0.443223
4800,0.000000,0.497545,0.133872,0.665912,0.144883,0.253571,0.032625,1.598152,0.748554,0.498103
4900,0.000000,0.264699,0.009180,0.355426,0.025157,1.115322,0.131822,0.147543,0.625881,0.268071
5000,0.000000,0.867042,0.027770,1.240150,0.161293,0.960475,0.131522,0.695337,0.204602,0.422947
