Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.006645,0.002441,0.014719,0.003140,0.000341,0.000000,0.007375,0.003794,0.001623
200,0.000000,0.454078,0.101391,0.225758,0.088712,0.037892,0.010953,0.348742,0.383782,0.046789
300,0.000000,0.245244,0.148388,0.848351,0.174825,0.154528,0.055522,0.844829,0.699306,0.326899
400,0.000000,0.630245,0.223406,0.426082,0.101091,0.445573,0.291163,0.484573,0.445344,0.066566
500,0.000000,0.540379,0.024296,0.047871,0.031037,0.489560,0.141808,0.793742,0.869191,0.326394
600,0.000000,0.253004,0.047906,0.134110,0.038373,1.904361,0.221144,0.287583,1.165437,0.558970
700,0.000000,0.079947,0.011731,0.000761,0.041599,0.280079,0.230828,1.740978,0.543482,0.539811
800,0.000000,0.390625,0.137603,1.237015,0.009353,1.148605,0.214330,2.454378,0.264346,0.163862
900,0.000000,1.145614,0.134109,1.338847,0.084642,0.062040,0.383115,0.918693,1.116410,0.471980
1000,0.000000,0.107099,0.318591,2.992019,0.488789,1.458354,0.209746,0.383239,0.307410,0.586946
1100,0.000000,0.100234,0.065934,0.431309,0.018749,0.745589,0.106037,0.135047,1.777161,0.316024
1200,0.000000,0.395204,0.078900,0.082437,0.044422,0.727727,0.100300,3.473961,1.211841,1.007820
1300,0.000000,0.290455,0.064915,0.295708,0.054699,1.305820,0.095030,1.314518,1.189139,0.236199
1400,0.000000,0.308456,0.122845,0.383726,0.138110,0.576122,0.052463,1.499937,0.683778,0.302232
1500,0.000000,1.171487,0.050342,0.398807,0.003648,0.656057,0.099980,0.995432,0.379667,0.257536
1600,0.000000,1.122149,0.085618,0.661608,0.027316,1.776577,0.286871,4.281027,2.092171,0.094772
1700,0.000000,0.916020,0.207618,0.843579,0.240837,0.703163,0.050187,1.396344,0.357522,0.131865
1800,0.000000,0.934704,0.040871,0.294333,0.043780,0.636972,0.016871,2.709593,0.683203,0.377468
1900,0.000000,0.050147,0.045218,1.363433,0.166426,0.209227,0.288193,3.038117,0.565023,0.305622
2000,0.000000,1.476328,0.039032,1.895859,0.225479,0.475572,0.029326,1.425700,0.474946,0.567807
2100,0.000000,0.026718,0.016258,2.134868,0.187934,0.713634,0.126095,6.862877,0.676590,0.484972
2200,0.000000,0.019961,0.026790,0.971374,0.114303,0.240038,0.131566,1.895273,1.393382,0.438672
2300,0.000000,0.654533,0.048603,0.360213,0.005764,0.572945,0.005621,1.098910,0.396817,0.510063
2400,0.000000,0.454301,0.073159,1.162592,0.038376,0.593313,0.177152,1.195965,0.281516,0.121296
2500,0.000000,0.348762,0.150558,0.505506,0.032388,0.931084,0.133276,0.882832,1.664914,0.477286
2600,0.000000,0.389995,0.097099,1.017124,0.043418,1.784168,0.126091,0.039931,0.468878,0.269484
2700,0.000000,1.103753,0.066633,2.148698,0.239806,0.415933,0.417978,2.332956,0.386416,0.094109
2800,0.000000,0.154300,0.022066,0.069495,0.017364,0.362479,0.028100,1.460776,0.557688,0.919410
2900,0.000000,0.691666,0.136745,0.253384,0.118331,1.417456,0.339774,2.441094,0.426064,0.279689
3000,0.000000,0.432581,0.128609,0.755099,0.008435,0.226987,0.013099,0.412740,1.487172,0.476189
3100,0.000000,0.185980,0.173213,0.506554,0.009403,2.180802,0.639489,0.622603,0.854932,0.657745
3200,0.000000,0.643950,0.132186,0.495321,0.185100,0.666841,0.331537,0.966099,0.088702,0.172159
3300,0.000000,0.280377,0.043636,1.264622,0.158407,0.527506,0.193622,0.976795,0.102748,0.439599
3400,0.000000,0.769075,0.085176,0.993491,0.026037,0.048271,0.300124,0.813676,0.371567,0.511806
3500,0.000000,0.205228,0.191613,1.329073,0.357724,0.564637,0.103324,2.841400,1.757456,0.517042
3600,0.000000,0.420946,0.181948,0.988503,0.012266,0.479045,0.070401,2.713896,0.857826,0.792306
3700,0.000000,1.037171,0.062559,0.763248,0.130295,0.164345,0.231686,2.259256,1.390951,0.695318
3800,0.000000,0.668862,0.147217,0.125317,0.083021,2.565740,0.151856,0.948024,1.119866,0.288512
3900,0.000000,2.049222,0.012015,0.122093,0.033245,0.599036,0.251700,2.663435,0.954038,0.268451
4000,0.000000,0.801249,0.103307,0.870069,0.126994,1.360835,0.184936,1.345375,0.526194,0.354988
4100,0.000000,0.157877,0.061325,0.738639,0.094308,2.347123,0.068585,1.177642,1.227566,0.366816
4200,0.000000,0.958628,0.028785,0.366767,0.031940,0.994307,0.147546,0.294286,0.771466,0.799799
4300,0.000000,1.896506,0.004807,0.726609,0.083184,0.033165,0.213493,1.417979,0.422999,0.803671
4400,0.000000,1.577549,0.201585,0.018943,0.175847,0.678013,0.447057,2.914024,0.373017,0.241684
4500,0.000000,0.104289,0.134099,0.502628,0.154643,0.267215,0.104497,4.115877,1.299831,0.477313
4600,0.000000,1.461587,0.068731,1.864195,0.270606,0.460080,0.287765,2.715159,1.479267,0.469491
4700,0.000000,0.455496,0.205465,0.122975,0.180518,0.572382,0.115702,5.366571,1.574604,0.013545
4800,0.000000,0.267854,0.347584,0.435425,0.189401,0.089075,0.367494,0.004429,2.924872,0.315292
4900,0.000000,0.420564,0.064405,0.161032,0.065002,0.258835,0.131941,3.341443,0.357543,0.702926
5000,0.000000,0.634548,0.201636,0.391579,0.161950,0.049773,0.150053,5.921162,0.272340,0.156845
