Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.000000,0.002133,0.000594,0.001529,0.000338,0.000059,0.002592,0.000981,0.000477
200,0.000000,0.066881,0.001265,0.000998,0.001735,0.026660,0.000265,0.001668,0.027410,0.000758
300,0.000000,0.164789,0.026069,0.856615,0.104882,0.109796,0.016893,0.002928,0.017335,0.031667
400,0.000000,0.474332,0.037182,0.051156,0.012174,0.077305,0.013963,0.132411,0.464116,0.125580
500,0.000000,0.385126,0.051952,0.441255,0.017370,0.106217,0.013914,0.620293,0.149203,0.116164
600,0.000000,0.036541,0.027389,0.748332,0.064450,0.084354,0.019684,0.398513,0.098642,0.374791
700,0.000000,0.239920,0.020886,0.063113,0.015136,0.037374,0.085777,0.800454,0.839939,0.174056
800,0.000000,0.013318,0.005696,0.539610,0.051538,0.277205,0.016651,0.092448,0.036197,0.035026
900,0.000000,0.768075,0.015845,0.134763,0.006836,0.037832,0.062238,0.524692,0.027437,0.263712
1000,0.000000,0.683972,0.011027,0.647467,0.064582,0.000668,0.031925,0.243158,0.091043,0.265482
1100,0.000000,0.561441,0.053851,0.012229,0.072076,0.370885,0.269886,0.243316,0.315898,0.327653
1200,0.000000,0.026717,0.138006,1.149829,0.216374,0.119987,0.106154,0.662847,0.161998,0.143105
1300,0.000000,0.404899,0.004234,0.464015,0.073296,0.270900,0.288254,0.633695,0.405925,0.026435
1400,0.000000,0.356797,0.084952,0.432697,0.008140,0.248618,0.233243,0.469892,0.013820,0.124604
1500,0.000000,1.248577,0.246238,1.725318,0.360774,0.236485,0.008825,0.658847,0.347876,0.113947
1600,0.000000,0.537364,0.255424,0.050656,0.157734,0.135453,0.226028,1.063531,0.484135,0.195071
1700,0.000000,0.602430,0.323272,0.813323,0.323263,0.278608,0.071411,0.449617,0.023910,0.002931
1800,0.000000,0.420912,0.189243,0.729534,0.213214,0.067664,0.020813,1.090555,0.349130,0.102936
1900,0.000000,0.274863,0.175819,0.021649,0.115875,0.008719,0.116280,0.154403,0.098256,0.238511
2000,0.000000,0.217152,0.073221,0.338977,0.008471,0.214559,0.182521,0.876775,0.050318,0.017582
2100,0.000000,0.123912,0.253170,1.517809,0.308443,0.597288,0.099213,1.675327,0.736591,0.354691
2200,0.000000,0.907519,0.126432,0.382711,0.116627,0.410640,0.154644,0.127827,0.054599,0.267544
2300,0.000000,0.307189,0.239776,0.823527,0.275235,0.012166,0.171377,0.647358,0.672708,0.398793
2400,0.000000,1.086237,0.290336,0.624848,0.287359,0.035692,0.031742,0.012616,0.672880,0.049060
2500,0.000000,0.026759,0.014106,0.511175,0.078203,0.230729,0.097494,0.020007,0.425488,0.033439
2600,0.000000,0.566006,0.181132,0.594988,0.065490,0.019388,0.214175,0.376916,0.990435,0.082696
2700,0.000000,1.411773,0.090552,0.040295,0.041823,0.257616,0.145810,0.565514,0.063298,0.111903
2800,0.000000,0.818070,0.250108,0.412763,0.223874,0.047323,0.080106,0.621768,0.315082,0.034841
2900,0.000000,0.256864,0.114150,2.310219,0.307351,0.471341,0.081454,0.748390,1.206681,0.009770
3000,0.000000,0.569228,0.078517,0.277267,0.032414,0.222729,0.018139,0.250840,0.392898,0.252582
3100,0.000000,0.640832,0.109869,0.887460,0.160388,0.973827,0.151459,1.286633,0.158416,0.048771
3200,0.000000,0.785261,0.155035,0.133222,0.083360,0.432768,0.049969,0.260090,0.779934,0.061347
3300,0.000000,0.203313,0.110106,1.038834,0.204612,0.023586,0.023543,1.574683,0.796579,0.186579
3400,0.000000,0.561610,0.162161,0.199225,0.062512,0.260621,0.149200,0.669443,1.162305,0.069986
3500,0.000000,0.143319,0.238771,1.122027,0.058953,0.621729,0.101521,0.713150,0.126306,0.094032
3600,0.000000,0.557801,0.109954,1.528778,0.092960,0.620693,0.179200,0.877769,0.220075,0.059846
3700,0.000000,0.132306,0.041828,0.997787,0.093800,0.115723,0.252501,1.757456,0.239928,0.225800
3800,0.000000,0.704391,0.185808,0.028445,0.126250,0.583091,0.016849,0.985568,0.081056,0.031082
3900,0.000000,0.670697,0.139637,0.625419,0.167923,0.489750,0.186588,0.437469,0.427027,0.305993
4000,0.000000,0.765246,0.050468,2.199122,0.194553,0.238324,0.096566,0.780689,0.218732,0.107146
4100,0.000000,1.328674,0.046497,0.545442,0.098891,0.503582,0.010745,0.816327,0.737058,0.130780
4200,0.000000,0.184434,0.052566,1.221678,0.185089,0.225188,0.053214,1.028821,1.159161,0.093383
4300,0.000000,0.060038,0.018548,0.776312,0.064827,0.111325,0.011344,0.775685,0.454353,0.074955
4400,0.000000,0.541444,0.090313,1.208145,0.198009,0.336681,0.048102,0.432013,0.897710,0.116240
4500,0.000000,0.527731,0.052782,0.197913,0.006517,0.054727,0.036291,3.067759,0.676425,0.083646
4600,0.000000,0.166984,0.010620,0.276631,0.043719,0.462961,0.056568,1.366853,0.376543,0.215172
4700,0.000000,0.842162,0.008847,0.829014,0.088901,0.155689,0.036422,0.586768,0.304684,0.007618
4800,0.000000,0.629584,0.106194,0.830914,0.122983,0.108380,0.232221,0.273344,0.384796,0.393980
4900,0.000000,0.097169,0.033903,1.691630,0.184245,0.235031,0.034364,0.666701,0.561545,0.150414
5000,0.000000,0.588819,0.138836,1.363459,0.252602,0.658451,0.086001,0.791684,0.096643,0.389024
